#등장  	마릿수	재화가치	총 재화	스코어	총 스코어
11  	2	 50 	 100 	500	1000
11  	2	 50 	 100 	500	1000
11  	1	 100 	 100 	600	600
11  	1	 100 	 100 	600	600
11  	1	 100 	 100 	600	600
12  	1	 150 	 150 	700	700
12  	1	 150 	 150 	700	700
12  	1	 150 	 150 	700	700
12  	1	 150 	 150 	700	700
12  	1	 150 	 150 	700	700
13  	2	 200 	 400 	800	1600
13  	2	 200 	 400 	800	1600
13  	1	 220 	 220 	850	850
#			 2,270 		11350
21  	2	 200 	 400 	800	1600
21  	1	 200 	 200 	800	800
21  	1	 200 	 200 	800	800
21  	1	 270 	 270 	900	900
22  	1	 250 	 250 	900	900
22  	1	 250 	 250 	900	900
22  	2	 250 	 500 	900	1800
22  	1	 250 	 250 	900	900
23  	1	 300 	 300 	1000	1000
23  	1	 300 	 300 	1000	1000
23  	1	 300 	 300 	1000	1000
23  	1	 300 	 300 	1000	1000
23  	1	 330 	 330 	1100	1100
#			 3,850 		13700
31  	1	 350 	 350 	1100	1100
31  	2	 350 	 700 	1100	2200
31  	1	 350 	 350 	1100	1100
31  	1	 380 	 380 	1200	1200
32  	1	 400 	 400 	1200	1200
32  	1	 400 	 400 	1200	1200
32  	1	 400 	 400 	1200	1200
32  	1	 430 	 430 	1300	1300
33  	2	 450 	 900 	1300	2600
33  	1	 480 	 480 	1400	1400
#			 4,790 		14500
41  	1	 650 	 650 	1700	1700
41  	1	 650 	 650 	1700	1700
41  	1	 650 	 650 	1700	1700
41  	1	 650 	 650 	1700	1700
42  	2	 750 	 1500 	1900	3800
42  	1	 750 	 750 	1900	1900
42  	1	 780 	 780 	2000	2000
43  	1	 850 	 850 	2100	2100
43  	2	 850 	 1700 	2100	4200
43  	2	 850 	 1700 	2100	4200
#			 9,880 		25000
51  	1	 950 	 950 	2300	2300
51  	2	 950 	 1900 	2300	4600
51  	2	 950 	 1900 	2300	4600
52  	2	 1150 	 2300 	2500	5000
52  	3	 1150 	 3450 	2500	7500					
#			 10,500 		24000
61  	2	 1450 	 2900 	3100	6200
61  	1	 1450 	 1450 	3100	3100
61  	1	 1450 	 1450 	3100	3100
62  	3	 1500 	 4500 	3200	9600
62  	1	 1600 	 1600 	3400	3400
#			 11,900 		25400
71  	2	 1550 	 3100 	3300	6600
71  	1	 1550 	 1550 	3300	3300
71  	1	 1600 	 1600 	3400	3400
72  	1	 1650 	 1650 	3500	3500
72  	2	 1650 	 3300 	3500	7000
72  	1	 1700 	 1700 	3600	3600
#			 12,900 		27400
81  	2	 1700 	 3400 	3600	7200
81  	2	 1700 	 3400 	3600	7200
81  	1	 1700 	 1700 	3600	3600
82  	2	 1750 	 3500 	3700	7400
82  	1	 1750 	 1750 	3700	3700
82  	1	 1900 	 1900 	4000	4000					
#			 15,650 		33100
91  	2	 1850 	 3700 	3900	7800
91  	2	 1850 	 3700 	3900	7800
91  	1	 1850 	 1850 	3900	3900
92  	2	 1850 	 3700 	3900	7800
92  	2	 1850 	 3700 	3900	7800
92  	1	 1850 	 1850 	3900	3900
93  	1	 1900 	 1900 	4000	4000
93  	1	 1900 	 1900 	4000	4000
93  	1	 1900 	 1900 	4000	4000
#			 24,200 		51000
101  	1	 1950 	 1950 	4100	4100
101  	2	 1950 	 3900 	4100	8200
101  	1	 1950 	 1950 	4100	4100
102  	2	 2000 	 4000 	4200	8400
102  	2	 2000 	 4000 	4200	8400
102  	1	 2000 	 2000 	4200	4200
103  	1	 2050 	 2050 	4300	4300
103  	2	 2200 	 4400 	4400	8800
103  	1	 2500 	 2500 	5000	5000
#			 26,750 		55500
